qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
517046,2_heur/,500,500,1,500_486_421_328_194_70_18_7_2_1,42_84_126_168_210_252_294_336_378_420,43,87990,210501,117197,106092,NULL
715179,2_heur/,500,500,1,137_61_37_23_13_7_6_1,42_84_126_168_210_252_294_336_378_420,44,87990,210501,37065,32928,NULL
162587,2_heur/,500,500,1,500_500_500_479_377_175_66_15_5_1,42_84_126_168_210_252_294_336_378_420,45,87990,210501,144383,130914,NULL
59239,2_heur/,500,500,1,500_445_342_216_79_29_11_3_1,42_84_126_168_210_252_294_336_378_420,46,87990,210501,98751,89250,NULL
221971,2_heur/,500,500,1,500_216_86_20_5_1,42_84_126_168_210_252_294_336_378_420,47,87990,210501,62043,55734,NULL
947130,2_heur/,500,500,1,500_500_500_500_488_375_155_31_7_1,42_84_126_168_210_252_294_336_378_420,48,87990,210501,164577,149352,NULL
693181,2_heur/,500,500,1,191_65_45_25_14_6_3_2_1,42_84_126_168_210_252_294_336_378_420,49,87990,210501,40147,35742,NULL
924365,2_heur/,500,500,1,500_483_397_267_130_54_18_4_2_1,42_84_126_168_210_252_294_336_378_420,50,87990,210501,109331,98910,NULL
770408,2_heur/,500,500,1,500_500_500_490_378_182_75_2_1,42_84_126_168_210_252_294_336_378_420,51,87990,210501,144843,131334,NULL
259312,2_heur/,500,500,1,500_500_500_497_436_254_101_27_5_1,42_84_126_168_210_252_294_336_378_420,52,87990,210501,153721,139440,NULL
190249,2_heur/,500,500,1,500_414_304_187_90_47_21_8_1,42_84_126_168_210_252_294_336_378_420,53,87990,210501,96267,86982,NULL
609068,2_heur/,500,500,1,500_415_283_126_49_13_4_1,42_84_126_168_210_252_294_336_378_420,54,87990,210501,87941,79380,NULL
140708,2_heur/,500,500,1,500_500_485_407_277_128_55_15_1,42_84_126_168_210_252_294_336_378_420,55,87990,210501,132883,120414,NULL
481263,2_heur/,500,500,1,500_500_500_500_500_468_135_20_2_1,42_84_126_168_210_252_294_336_378_420,56,87990,210501,167751,152250,NULL
534965,2_heur/,500,500,1,500_497_484_414_214_87_32_11_3_1,42_84_126_168_210_252_294_336_378_420,57,87990,210501,127133,115164,NULL
251030,2_heur/,500,500,1,500_500_500_499_490_405_240_76_11_1,42_84_126_168_210_252_294_336_378_420,58,87990,210501,172167,156282,NULL
965460,2_heur/,500,500,1,500_497_494_472_424_300_138_61_15_1,42_84_126_168_210_252_294_336_378_420,59,87990,210501,157447,142842,NULL
58008,2_heur/,500,500,1,500_449_390_298_157_61_20_6_1,42_84_126_168_210_252_294_336_378_420,60,87990,210501,110527,100002,NULL
918987,2_heur/,500,500,1,500_500_499_485_381_172_74_21_2_1,42_84_126_168_210_252_294_336_378_420,61,87990,210501,145165,131628,NULL
40168,2_heur/,500,500,1,500_500_500_497_373_196_71_19_3_1,42_84_126_168_210_252_294_336_378_420,62,87990,210501,146315,132678,NULL
962338,2_heur/,500,500,1,469_125_63_46_20_6_2_1,42_84_126_168_210_252_294_336_378_420,63,87990,210501,57627,51702,NULL
408055,2_heur/,500,500,1,500_453_315_121_22_8_2_1,42_84_126_168_210_252_294_336_378_420,64,87990,210501,89367,80682,NULL
150717,2_heur/,500,500,1,500_500_500_456_279_90_34_15_3_1,42_84_126_168_210_252_294_336_378_420,65,87990,210501,133343,120834,NULL
621046,2_heur/,500,500,1,500_482_415_294_136_47_4_1,42_84_126_168_210_252_294_336_378_420,66,87990,210501,110389,99876,NULL
704066,2_heur/,500,500,1,500_500_495_459_333_162_73_24_2_1,42_84_126_168_210_252_294_336_378_420,67,87990,210501,141209,128016,NULL
394119,2_heur/,500,500,1,500_500_499_482_415_246_108_35_8_1,42_84_126_168_210_252_294_336_378_420,68,87990,210501,152479,138306,NULL
