qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
965203,NULL,200,500,1,200_183_45_17_8_4_2_2_2_1,25_50_75_100_125_150_175_200_225_256,0,32640,51401,19640,16587,NULL
539018,NULL,200,500,1,194_28_5_4_2_1,25_50_75_100_125_150_175_200_225_256,1,32640,51401,12958,10825,NULL
553452,NULL,200,500,1,191_53_12_5_5_4_4_1,25_50_75_100_125_150_175_200_225_256,2,32640,51401,14147,11850,NULL
474849,NULL,200,500,1,151_20_7_3_2_1,25_50_75_100_125_150_175_200_225_256,3,32640,51401,11508,9575,NULL
189013,NULL,200,500,1,200_126_54_29_14_6_4_4_1,25_50_75_100_125_150_175_200_225_256,4,32640,51401,18874,15925,NULL
37540,NULL,200,500,1,200_173_84_45_22_11_10_6_2_1,25_50_75_100_125_150_175_200_225_256,5,32640,51401,22250,18837,NULL
397715,NULL,200,500,1,200_144_57_18_9_5_2_2_2_1,25_50_75_100_125_150_175_200_225_256,6,32640,51401,18944,15987,NULL
503696,NULL,200,500,1,200_194_89_32_15_8_5_3_2_1,25_50_75_100_125_150_175_200_225_256,7,32640,51401,22105,18712,NULL
775155,NULL,200,500,1,200_145_62_24_10_9_7_4_2_1,25_50_75_100_125_150_175_200_225_256,8,32640,51401,19640,16587,NULL
339562,NULL,200,500,1,199_102_56_27_21_14_5_3_2_1,25_50_75_100_125_150_175_200_225_256,9,32640,51401,18654,15737,NULL
969910,NULL,200,500,1,200_49_15_6_3_2_2_1,25_50_75_100_125_150_175_200_225_256,10,32640,51401,14234,11925,NULL
112810,NULL,200,500,1,200_128_45_13_8_5_2_1,25_50_75_100_125_150_175_200_225_256,11,32640,51401,17830,15025,NULL
657243,NULL,200,500,1,200_95_22_4_1,25_50_75_100_125_150_175_200_225_256,12,32640,51401,15510,13025,NULL
28686,NULL,200,500,1,200_184_103_33_19_9_2_1,25_50_75_100_125_150_175_200_225_256,13,32640,51401,22151,18750,NULL
219726,NULL,200,500,1,200_157_54_21_9_6_2_2_1,25_50_75_100_125_150_175_200_225_256,14,32640,51401,19280,16275,NULL
